county,republican,democrat,state,year
Autauga,"19,838","7,503",Alabama,2020
Baldwin,"83,544","24,578",Alabama,2020
Barbour,"5,622","4,816",Alabama,2020
Bibb,"7,525","1,986",Alabama,2020
Blount,"24,711","2,640",Alabama,2020
Bullock,"1,146","3,446",Alabama,2020
Butler,"5,458","3,965",Alabama,2020
Calhoun,"35,101","15,216",Alabama,2020
Chambers,"8,753","6,365",Alabama,2020
Cherokee,"10,583","1,624",Alabama,2020
Chilton,"16,085","3,073",Alabama,2020
Choctaw,"4,296","3,127",Alabama,2020
Clarke,"7,324","5,755",Alabama,2020
Clay,"5,601","1,267",Alabama,2020
Cleburne,"6,484",675,Alabama,2020
Coffee,"16,899","5,076",Alabama,2020
Colbert,"19,203","8,343",Alabama,2020
Conecuh,"3,442","2,966",Alabama,2020
Coosa,"3,631","1,796",Alabama,2020
Covington,"14,586","2,721",Alabama,2020
Crenshaw,"4,864","1,700",Alabama,2020
Cullman,"36,880","4,478",Alabama,2020
Dale,"14,303","5,170",Alabama,2020
Dallas,"5,524","12,230",Alabama,2020
DeKalb,"24,767","4,281",Alabama,2020
Elmore,"30,164","10,367",Alabama,2020
Escambia,"10,869","4,918",Alabama,2020
Etowah,"35,528","11,567",Alabama,2020
Fayette,"7,300","1,395",Alabama,2020
Franklin,"10,376","2,086",Alabama,2020
Geneva,"10,848","1,595",Alabama,2020
Greene,875,"3,884",Alabama,2020
Hale,"3,192","4,663",Alabama,2020
Henry,"6,607","2,606",Alabama,2020
Houston,"32,618","12,917",Alabama,2020
Jackson,"19,670","3,717",Alabama,2020
Jefferson,"138,843","181,688",Alabama,2020
Lamar,"6,174",978,Alabama,2020
Lauderdale,"31,721","11,915",Alabama,2020
Lawrence,"12,322","3,562",Alabama,2020
Lee,"42,221","27,860",Alabama,2020
Limestone,"34,640","13,672",Alabama,2020
Lowndes,"1,836","4,972",Alabama,2020
Macon,"1,541","7,108",Alabama,2020
Madison,"102,780","87,286",Alabama,2020
Marengo,"5,343","5,488",Alabama,2020
Marion,"12,205","1,463",Alabama,2020
Marshall,"33,191","5,943",Alabama,2020
Mobile,"101,243","79,474",Alabama,2020
Monroe,"6,147","4,455",Alabama,2020
Montgomery,"33,311","64,529",Alabama,2020
Morgan,"39,664","13,234",Alabama,2020
Perry,"1,339","3,860",Alabama,2020
Pickens,"5,594","4,022",Alabama,2020
Pike,"8,042","5,636",Alabama,2020
Randolph,"8,559","2,203",Alabama,2020
Russell,"9,864","11,228",Alabama,2020
St.Clair,"36,166","7,744",Alabama,2020
Shelby,"79,700","33,268",Alabama,2020
Sumter,"1,598","4,648",Alabama,2020
Talladega,"22,235","13,138",Alabama,2020
Tallapoosa,"14,963","5,859",Alabama,2020
Tuscaloosa,"51,117","37,765",Alabama,2020
Walker,"26,002","4,834",Alabama,2020
Washington,"6,564","2,258",Alabama,2020
Wilcox,"1,833","4,048",Alabama,2020
Winston,"10,195",974,Alabama,2020
Apache,"23,293","11,442",Alaska,2020
Cochise,"23,732","35,557",Alaska,2020
Coconino,"44,698","27,052",Alaska,2020
Gila,"8,943","18,377",Alaska,2020
Graham,"4,034","10,749",Alaska,2020
Greenlee,"1,182","2,433",Alaska,2020
LaPaz,"2,236","5,129",Alaska,2020
Maricopa,"1,040,774","995,665",Alaska,2020
Mohave,"24,831","78,535",Alaska,2020
Navajo,"23,383","27,657",Alaska,2020
Pima,"304,981","207,758",Alaska,2020
Pinal,"75,106","107,077",Alaska,2020
SantaCruz,"13,138","6,194",Alaska,2020
Yavapai,"49,602","91,527",Alaska,2020
Yuma,"32,210","36,534",Alaska,2020
Arkansas,"4,304","1,818",Arkansas,2020
Ashley,"5,548","2,125",Arkansas,2020
Baxter,"15,836","4,635",Arkansas,2020
Benton,"73,965","42,249",Arkansas,2020
Boone,"13,652","3,064",Arkansas,2020
Bradley,"2,335","1,214",Arkansas,2020
Calhoun,"1,636",479,Arkansas,2020
Carroll,"7,424","4,023",Arkansas,2020
Chicot,"1,752","2,260",Arkansas,2020
Clark,"4,616","3,438",Arkansas,2020
Clay,"4,086",962,Arkansas,2020
Cleburne,"10,328","1,988",Arkansas,2020
Cleveland,"2,867",651,Arkansas,2020
Columbia,"5,500","2,814",Arkansas,2020
Conway,"5,694","2,615",Arkansas,2020
Craighead,"25,558","11,921",Arkansas,2020
Crawford,"18,607","4,959",Arkansas,2020
Crittenden,"7,333","8,514",Arkansas,2020
Cross,"4,946","1,772",Arkansas,2020
Dallas,"1,573",963,Arkansas,2020
Desha,"1,921","2,016",Arkansas,2020
Drew,"4,349","2,426",Arkansas,2020
Faulkner,"34,421","18,347",Arkansas,2020
Franklin,"5,677","1,300",Arkansas,2020
Fulton,"3,961","1,035",Arkansas,2020
Garland,"29,069","14,045",Arkansas,2020
Grant,"6,794","1,268",Arkansas,2020
Greene,"12,670","3,058",Arkansas,2020
Hempstead,"4,470","2,138",Arkansas,2020
HotSpring,"9,202","3,082",Arkansas,2020
Howard,"3,367","1,340",Arkansas,2020
Independence,"11,250","2,806",Arkansas,2020
Izard,"4,631","1,021",Arkansas,2020
Jackson,"3,593","1,365",Arkansas,2020
Jefferson,"9,521","14,981",Arkansas,2020
Johnson,"6,938","2,283",Arkansas,2020
Lafayette,"1,757",839,Arkansas,2020
Lawrence,"4,569","1,080",Arkansas,2020
